first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Jordan,Fritz,1964/07/31,2018/07/14,62,2019,SD,unity golf club,"Martin, Mcknight and Clark"
Erika,Calhoun,1971/12/09,2018/08/22,98,2019,LA,unity golf club,
Elaine,Yates,1989/09/03,2018/04/23,48,2019,MA,unity golf club,"Smith, Torres and Matthews"
Nathaniel,Blankenship,1997/08/28,2018/11/20,89,2019,RI,unity golf club,"Hopkins, Barnes and Ward"
Amy,Buck,1977/01/04,2018/08/19,33,2019,NV,unity golf club,Parker Group
Erica,Hubbard,1995/10/03,2018/03/12,92,2019,DC,unity golf club,Keller Group
Christine,Miles,1994/01/24,2018/12/22,64,2019,PA,unity golf club,Mcdonald Inc
Jesse,Turner,1969/06/19,2018/09/27,36,2019,NM,unity golf club,Pearson Group
Curtis,Jensen,1961/04/25,2018/03/23,76,2019,CA,us softball league,"Martin, Mcknight and Clark"
Robert,Pittman,1995/09/05,2018/02/05,44,2019,NE,us softball league,Pearson Group
Melissa,Horton,1977/02/22,2018/05/22,96,2019,WA,us softball league,Hunter Ltd
Alec,Bailey,1969/04/22,2018/12/30,45,2019,AZ,us softball league,"Mullen, Huffman and Vasquez"
Erin,Benson,1997/07/17,2018/01/30,94,2019,IN,us softball league,Hunter Ltd
