first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Robert,Mclaughlin,1967/03/26,2018/08/25,57,2013,OR,unity golf club,Mcdonald Inc
Brittany,Norris,1972/09/06,2018/03/29,73,1986,MD,unity golf club,Hunter Ltd
Sharon,Nichols,1971/04/19,2018/04/11,92,1985,WY,unity golf club,"Alvarez, Schaefer and Robertson"
Christopher,Ware,1977/05/25,2018/07/20,74,2003,PA,unity golf club,Rivera-Morrow
Kevin,Scott,1981/12/15,2018/11/20,42,1994,MN,unity golf club,"Smith, Torres and Matthews"
Randall,Hendricks,1979/12/01,2018/08/23,85,1972,SC,unity golf club,"Jackson, Carlson and Contreras"
Lauren,Page,1995/03/22,2018/07/25,95,2016,ID,unity golf club,
Franklin,Wilson,1969/10/11,2018/12/16,43,1990,GA,unity golf club,Rivera-Morrow
Timothy,Wilson,1980/05/14,2018/01/14,38,1996,MS,unity golf club,Keller Group
Brandon,Roberts,1990/04/28,2018/07/13,72,1984,DC,unity golf club,Bruce Inc
Elizabeth,Ramos,1985/12/21,2018/02/23,44,1998,WA,unity golf club,Taylor-Alvarez
Tracy,Bennett,1968/05/09,2018/10/18,74,2009,TX,unity golf club,"Hopkins, Barnes and Ward"
Cameron,Lin,1971/07/11,2018/06/24,69,2018,NY,unity golf club,"Jackson, Carlson and Contreras"
Joshua,Rivera,1975/09/19,2018/02/26,64,1977,MN,unity golf club,"Martin, Mcknight and Clark"
Kimberly,Gray,1971/11/24,2018/09/16,58,2004,SC,unity golf club,"Alvarez, Schaefer and Robertson"
Kevin,Mitchell,1971/09/18,2018/09/06,91,2000,AR,unity golf club,Parker Group
David,Martin,1960/02/16,2018/11/05,79,2014,VT,unity golf club,Peterson and Sons
Jasmine,Jones,1976/10/10,2018/10/15,51,1985,DC,unity golf club,Peterson and Sons
Alec,Brown,1969/06/26,2018/06/30,86,1977,CA,unity golf club,"Mullen, Huffman and Vasquez"
Roger,Phillips,1973/09/12,2018/12/31,71,2015,IN,unity golf club,Peterson and Sons
